region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
AYP,basica,Insuficiente,33.70%,41.60%,30.90%,19.10%,33.70%,33.40%,37.20%,33.70%,48.30%,41.90%,28.40%,31.70%,19.10%,33.70%,28.90%,38.70%,33.60%,33.80%,33.20%,33.60%,32.30%,43.00%,33.60%,30.00%,72.70%
AYP,basica,Elemental,39.50%,37.90%,40.70%,33.10%,39.50%,39.70%,36.60%,39.50%,32.20%,39.20%,39.90%,42.70%,33.10%,39.50%,41.10%,37.70%,39.40%,38.80%,41.70%,39.40%,39.90%,36.00%,39.40%,41.00%,23.30%
AYP,basica,Adecuado,26.90%,20.60%,28.40%,47.80%,26.90%,26.90%,26.20%,26.90%,19.50%,18.90%,31.60%,25.70%,47.80%,26.90%,30.00%,23.60%,26.90%,27.40%,25.10%,26.90%,27.80%,21.10%,26.90%,29.10%,4.10%
AYP,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYSEN,basica,Insuficiente,42.20%,46.60%,38.90%,0.00%,42.20%,42.30%,41.90%,42.20%,50.00%,57.70%,41.40%,28.50%,31.30%,42.20%,35.50%,48.60%,42.30%,41.00%,48.50%,42.30%,42.10%,48.30%,42.30%,34.20%,82.30%
AYSEN,basica,Elemental,39.80%,37.30%,41.70%,0.00%,39.80%,39.50%,41.40%,39.80%,34.70%,31.20%,42.00%,45.10%,43.80%,39.80%,43.10%,36.70%,39.80%,40.20%,37.70%,39.80%,39.80%,41.40%,39.80%,44.90%,14.60%
AYSEN,basica,Adecuado,18.00%,16.10%,19.40%,0.00%,18.00%,18.20%,16.70%,18.00%,15.30%,11.10%,16.60%,26.40%,25.00%,18.00%,21.40%,14.70%,17.90%,18.80%,13.70%,17.90%,18.10%,10.30%,17.90%,20.90%,3.00%
AYSEN,basica,Total,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
BBIO,basica,Insuficiente,37.20%,45.10%,35.10%,13.70%,37.20%,36.10%,47.50%,37.20%,56.30%,45.50%,37.60%,28.70%,13.50%,37.20%,32.60%,41.70%,37.20%,36.50%,49.00%,37.20%,37.00%,42.70%,37.20%,31.20%,73.50%
BBIO,basica,Elemental,39.50%,37.10%,41.20%,39.50%,39.50%,40.00%,35.40%,39.50%,32.10%,37.00%,41.10%,42.70%,40.90%,39.50%,40.50%,38.60%,39.50%,39.70%,35.60%,39.50%,39.70%,35.50%,39.50%,42.40%,22.50%
BBIO,basica,Adecuado,23.30%,17.90%,23.70%,46.80%,23.30%,24.00%,17.10%,23.30%,11.60%,17.40%,21.30%,28.70%,45.60%,23.30%,26.90%,19.70%,23.30%,23.80%,15.30%,23.30%,23.30%,21.80%,23.30%,26.50%,4.00%
BBIO,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
COQ,basica,Insuficiente,41.00%,47.70%,40.10%,19.90%,41.00%,40.00%,50.30%,41.00%,55.90%,51.80%,39.40%,30.80%,18.80%,41.00%,36.00%,46.00%,41.10%,41.00%,46.00%,41.00%,40.70%,47.30%,41.00%,36.10%,76.20%
COQ,basica,Elemental,37.90%,35.30%,39.40%,39.20%,37.90%,38.20%,35.00%,37.90%,31.40%,33.80%,39.00%,45.00%,38.50%,37.90%,38.90%,36.90%,37.90%,38.00%,33.30%,37.90%,37.90%,36.60%,37.90%,40.50%,18.90%
