comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
LOS ÁLAMOS,basica,Adecuado,17.0%,14.6%,19.7%,0.0%,17.0%,10.5%,20.2%,17.0%,17.2%,10.4%,28.8%,0.0%,0.0%,17.0%,25.5%,8.8%,17.0%,17.1%,16.7%,17.0%,17.0%,0.0%,17.0%,19.0%,4.9%
LOS ÁLAMOS,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LOS ANDES,basica,Insuficiente,37.4%,47.3%,41.7%,9.9%,37.4%,37.2%,57.1%,37.4%,38.5%,50.0%,46.5%,30.1%,9.9%,37.4%,32.5%,42.2%,37.5%,37.3%,50.0%,37.4%,36.3%,55.8%,37.4%,34.1%,74.6%
LOS ANDES,basica,Elemental,36.1%,35.3%,36.9%,34.4%,36.1%,36.1%,42.9%,36.1%,61.5%,31.4%,35.0%,41.7%,34.4%,36.1%,35.3%,37.0%,36.0%,36.4%,0.0%,36.1%,36.1%,34.6%,36.1%,37.3%,22.5%
LOS ANDES,basica,Adecuado,26.5%,17.4%,21.4%,55.6%,26.5%,26.7%,0.0%,26.5%,0.0%,18.6%,18.5%,28.2%,55.6%,26.5%,32.3%,20.9%,26.5%,26.3%,50.0%,26.5%,27.6%,9.6%,26.5%,28.6%,2.8%
LOS ANDES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ÁNGELES,basica,Insuficiente,33.2%,44.1%,30.9%,12.7%,33.2%,31.3%,43.0%,33.2%,46.8%,39.6%,37.4%,23.6%,12.7%,33.2%,28.6%,38.0%,33.2%,33.0%,40.0%,33.1%,33.1%,34.4%,33.1%,27.6%,73.8%
LOS ÁNGELES,basica,Elemental,39.5%,38.9%,40.9%,30.2%,39.5%,39.6%,38.7%,39.5%,39.2%,39.5%,41.1%,40.7%,30.2%,39.5%,40.0%,38.8%,39.5%,39.5%,38.0%,39.5%,39.5%,38.9%,39.5%,41.6%,23.5%
LOS ÁNGELES,basica,Adecuado,27.4%,17.0%,28.2%,57.1%,27.4%,29.1%,18.3%,27.4%,14.0%,20.9%,21.5%,35.8%,57.1%,27.4%,31.3%,23.2%,27.4%,27.5%,22.0%,27.4%,27.4%,26.7%,27.4%,30.8%,2.6%
LOS ÁNGELES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS LAGOS,basica,Insuficiente,47.1%,46.6%,48.9%,0.0%,47.1%,46.7%,47.8%,47.1%,65.0%,48.0%,42.7%,0.0%,0.0%,47.1%,35.9%,57.6%,47.1%,45.5%,58.3%,47.1%,47.4%,0.0%,47.1%,37.9%,84.2%
LOS LAGOS,basica,Elemental,40.3%,42.5%,33.3%,0.0%,40.3%,41.8%,37.7%,40.3%,30.0%,38.7%,43.8%,0.0%,0.0%,40.3%,47.8%,33.3%,40.3%,41.3%,33.3%,40.3%,40.5%,0.0%,40.3%,46.4%,15.8%
LOS LAGOS,basica,Adecuado,12.6%,11.0%,17.8%,0.0%,12.6%,11.5%,14.5%,12.6%,5.0%,13.3%,13.5%,0.0%,0.0%,12.6%,16.3%,9.1%,12.6%,13.2%,8.3%,12.6%,12.1%,100.0%,12.6%,15.7%,0.0%
LOS LAGOS,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS MUERMOS,basica,Insuficiente,50.7%,44.1%,56.5%,0.0%,50.7%,47.2%,53.6%,50.7%,50.8%,50.9%,50.6%,0.0%,0.0%,50.7%,43.6%,59.3%,50.8%,53.3%,37.5%,50.7%,49.7%,83.3%,50.7%,46.7%,69.4%
LOS MUERMOS,basica,Elemental,37.8%,40.9%,35.2%,0.0%,37.8%,43.8%,33.0%,37.8%,36.9%,35.8%,39.8%,0.0%,0.0%,37.8%,43.6%,30.8%,38.2%,38.9%,34.4%,37.8%,38.5%,16.7%,37.8%,40.6%,25.0%
LOS MUERMOS,basica,Adecuado,11.4%,15.1%,8.3%,0.0%,11.4%,9.0%,13.4%,11.4%,12.3%,13.2%,9.6%,0.0%,0.0%,11.4%,12.7%,9.9%,11.1%,7.8%,28.1%,11.4%,11.8%,0.0%,11.4%,12.7%,5.6%
LOS MUERMOS,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS SAUCES,basica,Insuficiente,27.0%,25.5%,31.6%,0.0%,27.0%,26.4%,50.0%,27.0%,50.0%,26.4%,0.0%,0.0%,0.0%,27.0%,18.9%,35.1%,26.0%,20.0%,35.7%,27.0%,27.0%,0.0%,27.0%,23.3%,42.9%
LOS SAUCES,basica,Elemental,35.1%,29.1%,52.6%,0.0%,35.1%,34.7%,50.0%,35.1%,50.0%,34.7%,0.0%,0.0%,0.0%,35.1%,40.5%,29.7%,35.6%,37.8%,32.1%,35.1%,35.1%,0.0%,35.1%,33.3%,42.9%
LOS SAUCES,basica,Adecuado,37.8%,45.5%,15.8%,0.0%,37.8%,38.9%,0.0%,37.8%,0.0%,38.9%,0.0%,0.0%,0.0%,37.8%,40.5%,35.1%,38.4%,42.2%,32.1%,37.8%,37.8%,0.0%,37.8%,43.3%,14.3%
LOS SAUCES,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LOS VILOS,basica,Insuficiente,50.0%,52.6%,47.0%,0.0%,50.0%,50.7%,47.6%,50.0%,21.4%,65.0%,41.4%,0.0%,0.0%,50.0%,45.1%,55.6%,50.2%,50.2%,50.0%,50.0%,49.1%,61.9%,50.0%,46.0%,75.0%
LOS VILOS,basica,Elemental,37.8%,35.3%,40.9%,0.0%,37.8%,37.3%,39.7%,37.8%,42.9%,29.1%,43.9%,0.0%,0.0%,37.8%,37.9%,37.8%,37.6%,37.8%,25.0%,37.8%,38.6%,28.6%,37.8%,39.9%,25.0%
LOS VILOS,basica,Adecuado,12.2%,12.2%,12.1%,0.0%,12.2%,12.0%,12.7%,12.2%,35.7%,6.0%,14.6%,0.0%,0.0%,12.2%,17.0%,6.7%,12.2%,12.0%,25.0%,12.2%,12.4%,9.5%,12.2%,14.1%,0.0%
LOS VILOS,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOTA,basica,Insuficiente,49.1%,47.6%,50.0%,0.0%,49.1%,49.1%,0.0%,49.1%,70.0%,47.4%,48.9%,0.0%,0.0%,49.1%,42.1%,55.5%,49.1%,49.9%,31.6%,49.1%,49.3%,25.0%,49.1%,42.3%,83.3%
LOTA,basica,Elemental,37.4%,40.9%,35.3%,0.0%,37.4%,37.4%,0.0%,37.4%,25.0%,38.3%,37.6%,0.0%,0.0%,37.4%,38.3%,36.6%,37.4%,36.9%,47.4%,37.4%,37.3%,50.0%,37.4%,41.5%,16.7%
LOTA,basica,Adecuado,13.5%,11.6%,14.7%,0.0%,13.5%,13.5%,0.0%,13.5%,5.0%,14.3%,13.4%,0.0%,0.0%,13.5%,19.6%,7.9%,13.5%,13.2%,21.1%,13.5%,13.4%,25.0%,13.5%,16.2%,0.0%
LOTA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LUMACO,basica,Insuficiente,50.5%,47.0%,62.5%,0.0%,50.5%,40.0%,63.8%,50.5%,61.3%,18.5%,0.0%,0.0%,0.0%,50.5%,54.1%,45.7%,50.5%,42.6%,58.5%,50.5%,50.5%,0.0%,50.5%,44.0%,73.9%
LUMACO,basica,Elemental,31.8%,33.7%,25.0%,0.0%,31.8%,35.0%,27.7%,31.8%,31.3%,33.3%,0.0%,0.0%,0.0%,31.8%,26.2%,39.1%,31.8%,31.5%,32.1%,31.8%,31.8%,0.0%,31.8%,34.5%,21.7%
LUMACO,basica,Adecuado,17.8%,19.3%,12.5%,0.0%,17.8%,25.0%,8.5%,17.8%,7.5%,48.1%,0.0%,0.0%,0.0%,17.8%,19.7%,15.2%,17.8%,25.9%,9.4%,17.8%,17.8%,0.0%,17.8%,21.4%,4.3%
LUMACO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
MACHALÍ,basica,Insuficiente,24.1%,51.4%,28.1%,9.6%,24.1%,23.2%,41.5%,24.1%,61.5%,49.5%,36.6%,20.7%,9.6%,24.1%,22.2%,26.1%,24.1%,23.8%,57.1%,24.2%,24.2%,22.7%,24.2%,20.8%,72.0%
MACHALÍ,basica,Elemental,40.5%,38.5%,45.6%,35.1%,40.5%,39.7%,53.7%,40.5%,38.5%,35.1%,40.1%,51.7%,35.1%,40.5%,38.8%,42.2%,40.5%,40.5%,42.9%,40.4%,40.1%,50.0%,40.4%,41.4%,26.0%
MACHALÍ,basica,Adecuado,35.4%,10.1%,26.4%,55.3%,35.4%,37.1%,4.9%,35.4%,0.0%,15.3%,23.2%,27.6%,55.3%,35.4%,39.0%,31.7%,35.4%,35.7%,0.0%,35.5%,35.7%,27.3%,35.5%,37.8%,2.0%
MACHALÍ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MACUL,basica,Insuficiente,34.2%,36.4%,39.7%,6.7%,34.2%,34.2%,0.0%,34.2%,0.0%,46.3%,44.2%,28.8%,6.7%,34.2%,31.9%,36.9%,33.9%,34.0%,30.4%,34.0%,33.4%,37.3%,34.0%,30.0%,77.3%
MACUL,basica,Elemental,37.8%,38.8%,38.2%,34.9%,37.8%,37.8%,0.0%,37.8%,0.0%,36.6%,35.1%,43.9%,34.9%,37.8%,37.0%,38.9%,37.9%,37.6%,52.2%,37.9%,38.9%,32.0%,37.9%,39.4%,21.6%
MACUL,basica,Adecuado,28.0%,24.8%,22.1%,58.4%,28.0%,28.0%,0.0%,28.0%,0.0%,17.1%,20.7%,27.3%,58.4%,28.0%,31.2%,24.2%,28.1%,28.4%,17.4%,28.1%,27.7%,30.7%,28.1%,30.6%,1.1%
MACUL,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MÁFIL,basica,Insuficiente,61.5%,71.9%,51.5%,0.0%,61.5%,68.6%,35.7%,61.5%,36.4%,66.7%,0.0%,0.0%,0.0%,61.5%,48.0%,70.0%,61.5%,60.7%,75.0%,61.5%,60.3%,100.0%,61.5%,60.0%,65.0%
MÁFIL,basica,Elemental,33.8%,25.0%,42.4%,0.0%,33.8%,27.5%,57.1%,33.8%,54.5%,29.6%,0.0%,0.0%,0.0%,33.8%,48.0%,25.0%,33.8%,36.1%,0.0%,33.8%,34.9%,0.0%,33.8%,33.3%,35.0%
MÁFIL,basica,Adecuado,4.6%,3.1%,6.1%,0.0%,4.6%,3.9%,7.1%,4.6%,9.1%,3.7%,0.0%,0.0%,0.0%,4.6%,4.0%,5.0%,4.6%,3.3%,25.0%,4.6%,4.8%,0.0%,4.6%,6.7%,0.0%
MÁFIL,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAIPÚ,basica,Insuficiente,35.6%,52.2%,33.1%,19.2%,35.6%,35.6%,0.0%,35.6%,72.4%,56.0%,41.3%,25.1%,19.4%,35.6%,29.8%,41.8%,35.6%,35.3%,45.3%,35.6%,34.9%,48.4%,35.6%,32.4%,80.8%
MAIPÚ,basica,Elemental,37.7%,32.9%,38.7%,39.8%,37.7%,37.7%,0.0%,37.7%,20.7%,34.9%,39.2%,37.0%,40.2%,37.7%,39.2%,36.3%,37.7%,37.7%,38.7%,37.7%,37.8%,36.2%,37.7%,39.3%,16.2%
MAIPÚ,basica,Adecuado,26.6%,14.9%,28.2%,41.0%,26.6%,26.6%,0.0%,26.6%,6.9%,9.1%,19.5%,38.0%,40.4%,26.6%,31.1%,21.9%,26.7%,27.0%,16.0%,26.7%,27.3%,15.3%,26.7%,28.3%,3.1%
MAIPÚ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MALLOA,basica,Insuficiente,53.9%,53.9%,0.0%,0.0%,53.9%,58.3%,49.1%,53.9%,57.1%,50.0%,0.0%,0.0%,0.0%,53.9%,52.4%,55.8%,53.9%,54.0%,50.0%,53.9%,54.1%,50.0%,53.9%,44.9%,84.6%
MALLOA,basica,Elemental,28.7%,28.7%,0.0%,0.0%,28.7%,28.3%,29.1%,28.7%,28.6%,28.8%,0.0%,0.0%,0.0%,28.7%,30.2%,26.9%,28.7%,28.3%,50.0%,28.7%,28.8%,25.0%,28.7%,34.8%,7.7%
MALLOA,basica,Adecuado,17.4%,17.4%,0.0%,0.0%,17.4%,13.3%,21.8%,17.4%,14.3%,21.2%,0.0%,0.0%,0.0%,17.4%,17.5%,17.3%,17.4%,17.7%,0.0%,17.4%,17.1%,25.0%,17.4%,20.2%,7.7%
MALLOA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARCHIHUE,basica,Insuficiente,31.9%,31.9%,0.0%,0.0%,31.9%,50.0%,20.5%,31.9%,0.0%,38.9%,31.4%,0.0%,0.0%,31.9%,31.0%,33.3%,31.9%,31.9%,0.0%,31.9%,31.0%,100.0%,31.9%,26.2%,85.7%
MARCHIHUE,basica,Elemental,45.8%,45.8%,0.0%,0.0%,45.8%,35.7%,52.3%,45.8%,66.7%,55.6%,41.2%,0.0%,0.0%,45.8%,47.6%,43.3%,45.8%,45.8%,0.0%,45.8%,46.5%,0.0%,45.8%,50.8%,0.0%
MARCHIHUE,basica,Adecuado,22.2%,22.2%,0.0%,0.0%,22.2%,14.3%,27.3%,22.2%,33.3%,5.6%,27.5%,0.0%,0.0%,22.2%,21.4%,23.3%,22.2%,22.2%,0.0%,22.2%,22.5%,0.0%,22.2%,23.1%,14.3%
MARCHIHUE,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARÍA ELENA,basica,Insuficiente,54.0%,54.0%,0.0%,0.0%,54.0%,52.2%,75.0%,54.0%,0.0%,75.0%,52.2%,0.0%,0.0%,54.0%,55.6%,52.2%,54.0%,54.0%,0.0%,54.0%,51.3%,63.6%,54.0%,42.5%,100.0%
MARÍA ELENA,basica,Elemental,38.0%,38.0%,0.0%,0.0%,38.0%,39.1%,25.0%,38.0%,0.0%,25.0%,39.1%,0.0%,0.0%,38.0%,37.0%,39.1%,38.0%,38.0%,0.0%,38.0%,38.5%,36.4%,38.0%,47.5%,0.0%
MARÍA ELENA,basica,Adecuado,8.0%,8.0%,0.0%,0.0%,8.0%,8.7%,0.0%,8.0%,0.0%,0.0%,8.7%,0.0%,0.0%,8.0%,7.4%,8.7%,8.0%,8.0%,0.0%,8.0%,10.3%,0.0%,8.0%,10.0%,0.0%
MARÍA ELENA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARÍA PINTO,basica,Insuficiente,57.9%,57.9%,0.0%,0.0%,57.9%,71.2%,41.7%,57.9%,0.0%,69.2%,11.5%,0.0%,0.0%,57.9%,51.6%,63.8%,57.9%,58.0%,50.0%,57.9%,57.7%,66.7%,57.9%,53.2%,81.8%
MARÍA PINTO,basica,Elemental,27.8%,27.8%,0.0%,0.0%,27.8%,24.7%,31.7%,27.8%,0.0%,25.2%,38.5%,0.0%,0.0%,27.8%,29.7%,26.1%,27.8%,28.2%,0.0%,27.8%,27.7%,33.3%,27.8%,30.6%,13.6%
MARÍA PINTO,basica,Adecuado,14.3%,14.3%,0.0%,0.0%,14.3%,4.1%,26.7%,14.3%,0.0%,5.6%,50.0%,0.0%,0.0%,14.3%,18.8%,10.1%,14.3%,13.7%,50.0%,14.3%,14.6%,0.0%,14.3%,16.2%,4.5%
MARÍA PINTO,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARIQUINA,basica,Insuficiente,54.1%,61.8%,51.5%,0.0%,54.1%,48.1%,67.1%,54.1%,59.7%,58.3%,41.7%,0.0%,0.0%,54.1%,51.5%,56.7%,54.1%,52.3%,57.8%,54.1%,54.6%,25.0%,54.1%,41.6%,93.8%
MARIQUINA,basica,Elemental,37.6%,32.4%,39.4%,0.0%,37.6%,42.5%,27.1%,37.6%,32.8%,36.2%,44.4%,0.0%,0.0%,37.6%,38.6%,36.6%,37.6%,41.5%,30.0%,37.6%,37.4%,50.0%,37.6%,47.5%,6.3%
MARIQUINA,basica,Adecuado,8.3%,5.9%,9.1%,0.0%,8.3%,9.4%,5.9%,8.3%,7.5%,5.5%,13.9%,0.0%,0.0%,8.3%,9.8%,6.7%,8.3%,6.3%,12.2%,8.3%,8.0%,25.0%,8.3%,10.9%,0.0%
MARIQUINA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULE,basica,Insuficiente,34.3%,51.9%,25.5%,0.0%,34.3%,35.8%,32.0%,34.3%,44.4%,49.5%,31.9%,19.1%,0.0%,34.3%,25.0%,44.1%,34.3%,34.5%,0.0%,34.3%,34.1%,40.0%,34.3%,26.9%,75.0%
MAULE,basica,Elemental,32.1%,33.7%,31.3%,0.0%,32.1%,26.7%,40.0%,32.1%,38.9%,32.0%,27.5%,32.7%,0.0%,32.1%,33.8%,30.3%,32.1%,31.6%,100.0%,32.1%,31.5%,50.0%,32.1%,35.2%,14.6%
MAULE,basica,Adecuado,33.7%,14.4%,43.3%,0.0%,33.7%,37.4%,28.0%,33.7%,16.7%,18.6%,40.6%,48.2%,0.0%,33.7%,41.3%,25.7%,33.7%,33.9%,0.0%,33.7%,34.4%,10.0%,33.7%,37.9%,10.4%
MAULE,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULLIN,basica,Insuficiente,30.6%,18.8%,61.3%,0.0%,30.6%,28.9%,34.3%,30.6%,40.7%,37.0%,15.8%,0.0%,0.0%,30.6%,23.6%,37.5%,30.9%,27.5%,40.0%,30.6%,29.6%,66.7%,30.6%,22.8%,68.4%
MAULLIN,basica,Elemental,47.7%,52.5%,35.5%,0.0%,47.7%,44.7%,54.3%,47.7%,48.1%,52.2%,42.1%,0.0%,0.0%,47.7%,45.5%,50.0%,47.3%,48.8%,43.3%,47.7%,49.1%,0.0%,47.7%,53.3%,21.1%
MAULLIN,basica,Adecuado,21.6%,28.8%,3.2%,0.0%,21.6%,26.3%,11.4%,21.6%,11.1%,10.9%,42.1%,0.0%,0.0%,21.6%,30.9%,12.5%,21.8%,23.8%,16.7%,21.6%,21.3%,33.3%,21.6%,23.9%,10.5%
MAULLIN,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MEJILLONES,basica,Insuficiente,58.2%,58.2%,0.0%,0.0%,58.2%,58.2%,50.0%,58.2%,0.0%,77.3%,47.5%,0.0%,0.0%,58.2%,53.6%,64.9%,57.7%,58.4%,25.0%,57.7%,52.8%,69.1%,57.7%,54.2%,93.8%
MEJILLONES,basica,Elemental,31.0%,31.0%,0.0%,0.0%,31.0%,30.8%,50.0%,31.0%,0.0%,21.2%,36.4%,0.0%,0.0%,31.0%,31.8%,29.7%,31.3%,30.3%,75.0%,31.3%,33.9%,25.5%,31.3%,33.7%,6.3%
MEJILLONES,basica,Adecuado,10.9%,10.9%,0.0%,0.0%,10.9%,11.0%,0.0%,10.9%,0.0%,1.5%,16.1%,0.0%,0.0%,10.9%,14.5%,5.4%,11.0%,11.2%,0.0%,11.0%,13.4%,5.5%,11.0%,12.0%,0.0%
MEJILLONES,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MELIPEUCO,basica,Insuficiente,62.5%,55.0%,66.7%,0.0%,62.5%,61.5%,75.0%,62.5%,75.0%,61.5%,0.0%,0.0%,0.0%,62.5%,53.3%,73.1%,62.5%,54.8%,72.0%,62.5%,63.6%,0.0%,62.5%,52.4%,92.9%
MELIPEUCO,basica,Elemental,25.0%,25.0%,25.0%,0.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,0.0%,0.0%,0.0%,25.0%,30.0%,19.2%,25.0%,32.3%,16.0%,25.0%,23.6%,100.0%,25.0%,31.0%,7.1%
MELIPEUCO,basica,Adecuado,12.5%,20.0%,8.3%,0.0%,12.5%,13.5%,0.0%,12.5%,0.0%,13.5%,0.0%,0.0%,0.0%,12.5%,16.7%,7.7%,12.5%,12.9%,12.0%,12.5%,12.7%,0.0%,12.5%,16.7%,0.0%
MELIPEUCO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MELIPILLA,basica,Insuficiente,38.0%,43.7%,38.5%,13.1%,38.0%,37.8%,38.8%,38.0%,45.9%,46.0%,39.6%,22.1%,13.1%,38.0%,34.3%,42.1%,38.1%,38.1%,40.5%,38.1%,37.7%,43.0%,38.1%,34.2%,79.7%
MELIPILLA,basica,Elemental,39.3%,39.0%,40.1%,35.9%,39.3%,38.5%,42.1%,39.3%,37.8%,39.1%,36.1%,46.6%,35.9%,39.3%,39.7%,38.9%,39.2%,39.2%,40.5%,39.3%,39.6%,36.0%,39.3%,41.6%,14.3%
MELIPILLA,basica,Adecuado,22.6%,17.3%,21.5%,51.0%,22.6%,23.7%,19.1%,22.6%,16.2%,14.9%,24.2%,31.3%,51.0%,22.6%,26.1%,18.9%,22.7%,22.8%,18.9%,22.6%,22.7%,21.0%,22.6%,24.1%,6.0%
MELIPILLA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MOLINA,basica,Insuficiente,40.8%,40.6%,40.9%,0.0%,40.8%,37.9%,48.6%,40.8%,41.9%,42.0%,40.3%,29.6%,0.0%,40.8%,33.6%,48.3%,40.8%,40.2%,58.8%,40.8%,39.9%,68.8%,40.8%,34.2%,77.5%
MOLINA,basica,Elemental,37.9%,36.1%,39.8%,0.0%,37.9%,40.7%,30.3%,37.9%,38.1%,35.3%,39.3%,48.1%,0.0%,37.9%,39.1%,36.7%,37.9%,39.0%,5.9%,37.9%,38.5%,18.8%,37.9%,40.9%,21.3%
MOLINA,basica,Adecuado,21.3%,23.3%,19.3%,0.0%,21.3%,21.4%,21.1%,21.3%,20.0%,22.7%,20.4%,22.2%,0.0%,21.3%,27.3%,15.1%,21.3%,20.9%,35.3%,21.3%,21.6%,12.5%,21.3%,24.9%,1.3%
MOLINA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MONTE PATRIA,basica,Insuficiente,41.2%,40.7%,44.9%,0.0%,41.2%,38.4%,46.2%,41.2%,48.2%,36.4%,40.7%,0.0%,0.0%,41.2%,32.3%,50.8%,41.2%,41.2%,41.4%,41.2%,41.5%,20.0%,41.2%,36.2%,67.7%
MONTE PATRIA,basica,Elemental,34.8%,34.5%,36.7%,0.0%,34.8%,37.1%,30.8%,34.8%,36.0%,33.3%,37.0%,0.0%,0.0%,34.8%,38.8%,30.5%,34.7%,34.7%,34.5%,34.8%,34.2%,80.0%,34.8%,36.8%,24.2%
MONTE PATRIA,basica,Adecuado,24.0%,24.8%,18.4%,0.0%,24.0%,24.5%,23.1%,24.0%,15.8%,30.3%,22.2%,0.0%,0.0%,24.0%,28.9%,18.7%,24.1%,24.1%,24.1%,24.0%,24.3%,0.0%,24.0%,27.0%,8.1%
