slep,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
LOS COPIHUES,ratio docente media,16.96,13.3,18.73,16.88,16.96,17.32,14.77,16.96,14.55,16.81,18.71,18.55,16.88
LAS CALETAS,ratio docente media,14.82,10.65,17.38,19.33,14.82,14.82,,14.82,9.03,12.21,15.74,18.28,19.33
MALLECO COSTA,ratio docente media,13.9,12.2,15.81,11.6,13.9,14.96,6.85,13.9,11.43,8.89,21.63,14.17,11.6
COSTA ARAUCANÍA,ratio docente media,12.49,12.14,12.78,,12.49,14.24,7.26,12.36,11.81,11.61,15.64,,
MALLECO CORDILLERA,ratio docente media,14.3,13.22,15.37,,14.3,14.3,,14.3,13.34,12.08,14.51,18.6,
CAUTÍN NORTE,ratio docente media,15.3,14.16,15.43,17.31,15.3,15.45,10.28,15.41,12.75,14.66,16.88,16.92,17.65
CAUTÍN SUR,ratio docente media,13.62,10.78,14.9,10,13.62,13.63,13.55,13.62,11.34,12.47,17.22,16.17,12.56
RANCO,ratio docente media,12.26,10.74,13.34,16.67,12.26,11.65,14.86,12.26,10.46,13.46,10.26,13.24,16.67
VALDIVIA,ratio docente media,12.93,11.98,13.65,12.06,12.93,13.35,10.32,12.93,10.44,11.8,14.84,17.06,11.77
LLANQUIHUE,ratio docente media,14.27,12.78,17.42,12.35,14.27,13.81,17.8,14.27,14.41,12.6,17.26,17.14,12.35
CHILOÉ,ratio docente media,12.13,12.29,11.95,,12.13,12.45,8.65,12.79,11.99,14.39,12.52,12.82,11.89
OSORNO,ratio docente media,15.43,12.06,17.34,14.28,15.43,15.75,12.96,15.43,14.79,15.55,15.29,17.14,14.28
RELONCAVÍ,ratio docente media,16.39,12.51,21.02,14.01,16.39,17.54,12.3,16.6,14.13,15.35,17.49,21.14,15.92
AYSÉN,ratio docente media,11.73,9.06,14.4,,11.73,12.77,8.26,11.73,10.62,7.93,14.05,15.18,15.38
MAGALLANES,ratio docente media,13.98,11.5,16.97,12.67,13.98,13.98,,13.98,10.69,11.79,14.55,16.21,13.24
TODAS,ratio docente media,16.09,12.8,18.15,14.54,16.09,16.31,12.36,16.15,13.12,15.39,17.58,18.84,14.63
CHINCHORRO,ratio docente especial,16.3,,16.3,,16.3,16.3,,16.3,,17.6,15,,
IQUIQUE,ratio docente especial,25.87,20.13,31.61,,25.87,25.87,,27.28,26,27.6,,,
TAMARUGAL,ratio docente especial,,,,,,,,,,,,,
ANTOFAGASTA,ratio docente especial,6.6,5.11,17,,6.6,6.6,,6.6,,5.21,7.99,,
LICANCABUR,ratio docente especial,1.89,1,3.67,,1.89,1.89,,1.89,,1,3.67,,
ATACAMA,ratio docente especial,2.15,1.98,3,,2.15,2.15,,2.96,,2.94,3,,
HUASCO,ratio docente especial,5.42,5.42,,,5.42,5.42,,5.42,,,5.42,,
ELQUI,ratio docente especial,14.65,9.38,16.41,,14.65,13.67,21.5,14.65,9.38,17.67,15.78,,
PUERTO CORDILLERA,ratio docente especial,10.91,5.5,12.26,,10.91,10.91,,10.91,,10.83,11.02,,
LIMARÍ,ratio docente especial,0,,0,,0,0,,0,,,,0,
CHOAPA,ratio docente especial,,,,,,,,,,,,,
VALPARAÍSO,ratio docente especial,6.64,3.63,12.67,,6.64,6.64,,6.64,4.43,2.83,,12.67,
HANGA ROA,ratio docente especial,,,,,,,,,,,,,
COSTA CENTRAL,ratio docente especial,17.98,9,22.47,,17.98,17.98,,17.98,,45,12.3,13.67,
PETORCA,ratio docente especial,4,4,,,4,3.5,5,4,,4,,,
LOS ANDES,ratio docente especial,6.88,6.88,,,6.88,6.88,,6.88,,6.88,,,
QUILLOTA,ratio docente especial,16.05,8.6,23.5,,16.05,23.5,8.6,16.05,,8.6,23.5,,
MARGA MARGA,ratio docente especial,18.14,,18.14,,18.14,18.14,,20.85,,25.52,11.5,,
DEL LITORAL,ratio docente especial,38.33,,38.33,,38.33,38.33,,38.33,,,38.33,,
ACONCAGUA,ratio docente especial,10.15,6.8,13.5,,10.15,10.15,,10.15,6.8,,13.5,,
SANTIAGO CENTRO,ratio docente especial,,,,,,,,,,,,,
MAIPO SUR,ratio docente especial,18.42,,18.42,,18.42,19.3,16.23,18.42,26.8,19.6,15.74,,
SANTA CORINA,ratio docente especial,12.25,,12.25,,12.25,12.25,,12.25,,,24.5,0,
CHACABUCO,ratio docente especial,27.13,,27.13,,27.13,27.13,,27.13,,28.75,25.5,,
LOS LIBERTADORES,ratio docente especial,9.75,9.75,,,9.75,9.75,,9.75,9.75,,,,
DEL PINO,ratio docente especial,17.39,,17.39,,17.39,17.39,,17.39,23.1,14.01,11.02,,
MAPOCHO,ratio docente especial,,,,,,,,,,,,,
SANTA ROSA,ratio docente especial,15.75,,15.75,,15.75,15.75,,15.75,12,,,19.5,
LA QUEBRADA,ratio docente especial,10.78,,10.78,,10.78,10.78,,9,6,,12,,
MANQUEHUE,ratio docente especial,,,,,,,,,,,,,
GABRIELA MISTRAL,ratio docente especial,8.5,12,5,,8.5,8.5,,12,,,12,,
MELIPILLA,ratio docente especial,18.91,16.5,20.12,,18.91,17.1,28,16.07,,11.14,21,,
BARRANCAS,ratio docente especial,20.39,,20.39,,20.39,20.39,,20.39,,,20.75,19.67,
LOS VIÑEDOS,ratio docente especial,15.96,,15.96,,15.96,15.96,,15.96,17.17,15.5,15.67,,
LOS PARQUES,ratio docente especial,22.24,,22.24,,22.24,22.24,,22.24,,19.33,21.88,25.5,
TALAGANTE,ratio docente especial,15.5,,15.5,,15.5,15.5,,15.5,9.5,18.08,13.35,19.75,
COSTA COLCHAGUA,ratio docente especial,14,14,,,14,,14,14,,,14,,
VALLE CACHAPOAL,ratio docente especial,,,,,,,,,,,,,
CACHAPOAL COSTA,ratio docente especial,14,14,,,14,14,,14,,14,,,
CARDENAL CARO,ratio docente especial,6.83,6.83,,,6.83,6.83,,6.83,,6.83,,,
CACHAPOAL NORTE,ratio docente especial,4,,4,,4,4,,4,,,4,,
COLCHAGUA,ratio docente especial,1.25,1.25,,,1.25,1.25,,1.25,,1.25,,,
MAULE COSTA,ratio docente especial,1.18,1.18,,,1.18,0.52,2.5,1.18,2.5,0.7,0.33,,
LOS CEREZOS,ratio docente especial,11.06,3.31,18.81,,11.06,10.56,13.08,11.06,11.96,28.33,6.89,,
LOS ÁLAMOS,ratio docente especial,9.55,4.91,42,,9.55,15.1,4,9.77,5.21,13.19,,,
MAULE VALLE,ratio docente especial,14.92,7.5,18.63,,14.92,15.2,13.5,14.92,2,21.83,9,13,
VALLE DIGUILLÍN,ratio docente especial,9.48,5.24,17.97,,9.48,10.19,1.75,9.48,3.08,9.09,14.11,18.5,
PUNILLA CORDILLERA,ratio docente especial,5.59,3.93,22.25,,5.59,6.66,2.74,3.81,2.77,6.33,5,,
COSTA ITATA,ratio docente especial,5.21,3.1,20,,5.21,5.21,,5.21,7.5,1.33,20,,
ANDALIÉN SUR,ratio docente especial,9.2,4.34,20.54,,9.2,10.22,0,9.2,0.51,9.59,23.83,,
PUELCHE,ratio docente especial,3.6,2.9,8.5,,3.6,3.6,,3.6,5.83,0.56,3.39,,
ARAUCO NORTE,ratio docente especial,2.04,2.04,,,2.04,4.13,1,2.04,3.06,0,,,
ARAUCO SUR,ratio docente especial,4.33,4.33,,,4.33,3.27,7,4.33,4.28,4.67,,,
ANDALIÉN COSTA,ratio docente especial,7.15,1.02,21.47,,7.15,7.15,,7.15,5,5.75,13.14,,
VALLE BIOBÍO,ratio docente especial,6.67,6.67,,,6.67,6.67,,6.67,10,0,,,
LOS COPIHUES,ratio docente especial,12.26,11.48,12.73,,12.26,12.26,,12.26,23,9.53,12.32,,
LAS CALETAS,ratio docente especial,4.65,2,7.3,,4.65,4.65,,4.65,,6.2,0,,
MALLECO COSTA,ratio docente especial,4.93,6,2.8,,4.93,4.93,,4.93,6,,2.8,,
COSTA ARAUCANÍA,ratio docente especial,24.67,,24.67,,24.67,24.67,,24.67,,,24.67,,
MALLECO CORDILLERA,ratio docente especial,,,,,,,,,,,,,
CAUTÍN NORTE,ratio docente especial,11.77,8.5,15.04,,11.77,11.77,,8.88,,13,7.5,,
CAUTÍN SUR,ratio docente especial,5.4,4.75,6.38,,5.4,5,7,5.4,3.63,6.38,7,,
RANCO,ratio docente especial,9.23,9.33,8.94,,9.23,9.23,,9.23,,9.33,8.94,,
VALDIVIA,ratio docente especial,4.77,2.21,6.47,,4.77,5.83,0.5,4.77,,4.72,0.83,9.05,
LLANQUIHUE,ratio docente especial,0,0,,,0,0,,0,0,0,,,
CHILOÉ,ratio docente especial,4.28,3.83,6.5,,4.28,3.54,5.75,4.28,3.83,4.58,,5,
OSORNO,ratio docente especial,5.87,5.87,,,5.87,7.33,0,5.87,7.92,4.5,,,
RELONCAVÍ,ratio docente especial,5.67,5.67,,,5.67,2.5,7.25,5.67,2.5,13,1.5,,
AYSÉN,ratio docente especial,11.51,5.36,17.67,,11.51,15.35,0,11.51,,10.71,6.5,22.33,
MAGALLANES,ratio docente especial,,,,,,,,,,,,,
TODAS,ratio docente especial,10.23,5.16,16.52,,10.23,10.68,6.75,10.13,7.57,9.94,11.88,13.74,
