slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ATACAMA,basica,Elemental,36.4%,35.0%,38.4%,29.8%,36.4%,36.2%,54.5%,36.4%,25.0%,34.1%,35.1%,44.0%,29.8%,36.4%,41.2%,31.7%,36.3%,36.4%,36.2%,36.4%,36.5%,33.3%,36.4%,37.3%,18.7%
ATACAMA,basica,Adecuado,23.3%,15.5%,16.8%,59.6%,23.3%,23.3%,18.2%,23.3%,25.0%,11.9%,10.9%,25.3%,59.6%,23.3%,26.2%,20.5%,23.3%,23.6%,15.5%,23.2%,23.2%,22.2%,23.2%,24.3%,1.3%
ATACAMA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
HUASCO,basica,Insuficiente,40.5%,44.0%,28.0%,20.0%,40.5%,39.6%,48.9%,40.5%,59.4%,42.3%,42.8%,28.0%,20.0%,40.5%,34.9%,45.8%,40.5%,39.3%,51.6%,40.5%,40.2%,47.5%,40.5%,36.0%,72.9%
HUASCO,basica,Elemental,37.9%,36.2%,45.1%,40.0%,37.9%,37.9%,38.3%,37.9%,31.3%,35.0%,37.8%,45.1%,40.0%,37.9%,39.1%,36.7%,37.9%,38.6%,31.2%,37.9%,37.9%,37.5%,37.9%,39.6%,25.4%
HUASCO,basica,Adecuado,21.6%,19.8%,26.9%,40.0%,21.6%,22.5%,12.8%,21.6%,9.4%,22.7%,19.4%,26.9%,40.0%,21.6%,26.0%,17.5%,21.6%,22.0%,17.2%,21.6%,21.9%,15.0%,21.6%,24.4%,1.7%
HUASCO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ELQUI,basica,Insuficiente,38.7%,48.8%,41.5%,16.0%,38.7%,38.1%,51.7%,38.7%,60.6%,56.8%,41.1%,32.9%,16.0%,38.7%,33.6%,43.5%,39.1%,39.1%,38.9%,38.7%,38.7%,38.7%,38.7%,34.5%,74.6%
ELQUI,basica,Elemental,38.6%,36.1%,39.5%,39.1%,38.6%,38.7%,36.6%,38.6%,30.7%,32.1%,37.8%,47.0%,39.1%,38.6%,39.5%,37.7%,38.6%,38.6%,38.9%,38.6%,38.4%,42.9%,38.6%,40.7%,20.9%
ELQUI,basica,Adecuado,22.7%,15.1%,19.0%,44.9%,22.7%,23.2%,11.6%,22.7%,8.7%,11.1%,21.1%,20.1%,44.9%,22.7%,26.8%,18.8%,22.3%,22.3%,22.1%,22.7%,22.9%,18.4%,22.7%,24.8%,4.4%
