slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CHACABUCO,basica,Adecuado,33.2%,26.0%,24.0%,56.0%,33.2%,34.3%,12.6%,33.2%,18.8%,22.4%,27.4%,30.6%,56.0%,33.2%,37.2%,28.9%,33.2%,33.4%,26.2%,33.1%,33.7%,27.0%,33.1%,34.3%,8.2%
CHACABUCO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS LIBERTADORES,basica,Insuficiente,35.9%,45.6%,35.1%,9.6%,35.9%,36.1%,23.9%,35.9%,58.1%,52.6%,34.9%,21.8%,9.6%,35.9%,31.6%,40.3%,36.0%,35.8%,40.7%,36.0%,34.8%,44.8%,36.0%,32.8%,79.6%
LOS LIBERTADORES,basica,Elemental,37.5%,36.1%,38.1%,33.9%,37.5%,37.4%,42.3%,37.5%,30.2%,35.4%,36.6%,43.3%,33.9%,37.5%,36.6%,38.4%,37.4%,37.4%,38.5%,37.4%,37.8%,34.1%,37.4%,39.0%,16.0%
LOS LIBERTADORES,basica,Adecuado,26.6%,18.4%,26.7%,56.4%,26.6%,26.5%,33.8%,26.6%,11.6%,12.0%,28.5%,34.8%,56.4%,26.6%,31.8%,21.3%,26.6%,26.8%,20.9%,26.6%,27.4%,21.0%,26.6%,28.2%,4.4%
LOS LIBERTADORES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
DEL PINO,basica,Insuficiente,44.1%,57.1%,42.1%,21.0%,44.1%,44.2%,42.4%,44.1%,60.6%,48.5%,40.8%,28.4%,21.0%,44.1%,37.9%,50.4%,44.1%,43.8%,50.1%,44.1%,43.8%,51.0%,44.1%,40.0%,82.1%
DEL PINO,basica,Elemental,37.6%,31.1%,39.4%,38.3%,37.6%,37.8%,32.6%,37.6%,29.5%,36.8%,39.6%,44.4%,38.3%,37.6%,39.8%,35.4%,37.6%,37.8%,33.7%,37.6%,37.8%,34.2%,37.6%,40.1%,15.3%
DEL PINO,basica,Adecuado,18.2%,11.8%,18.5%,40.7%,18.2%,18.0%,25.0%,18.2%,9.9%,14.6%,19.6%,27.2%,40.7%,18.2%,22.3%,14.2%,18.3%,18.4%,16.1%,18.3%,18.4%,14.8%,18.3%,20.0%,2.6%
DEL PINO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAPOCHO,basica,Insuficiente,41.1%,54.5%,42.0%,12.8%,41.1%,41.1%,0.0%,41.1%,52.1%,55.3%,45.2%,33.5%,12.8%,41.1%,35.5%,46.7%,41.1%,40.9%,49.1%,41.1%,39.2%,47.8%,41.1%,37.7%,85.5%
MAPOCHO,basica,Elemental,38.0%,33.9%,39.1%,41.2%,38.0%,38.0%,0.0%,38.0%,34.3%,33.4%,38.2%,41.7%,41.2%,38.0%,39.6%,36.5%,38.1%,38.1%,39.8%,38.1%,38.9%,35.1%,38.1%,40.1%,11.5%
MAPOCHO,basica,Adecuado,20.8%,11.6%,18.9%,45.9%,20.8%,20.8%,0.0%,20.8%,13.6%,11.3%,16.6%,24.8%,45.9%,20.8%,24.8%,16.8%,20.8%,21.1%,11.1%,20.8%,21.9%,17.1%,20.8%,22.2%,3.0%
MAPOCHO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA ROSA,basica,Insuficiente,37.6%,53.5%,34.6%,15.4%,37.6%,37.6%,0.0%,37.6%,69.5%,47.7%,35.6%,30.5%,15.1%,37.6%,32.2%,43.4%,37.5%,37.9%,29.8%,37.5%,36.1%,44.8%,37.5%,33.7%,72.3%
SANTA ROSA,basica,Elemental,39.3%,33.9%,40.3%,47.8%,39.3%,39.3%,0.0%,39.3%,25.4%,34.8%,40.2%,43.0%,46.7%,39.3%,41.6%,37.0%,39.4%,39.6%,36.3%,39.4%,39.9%,37.0%,39.4%,41.2%,22.8%
SANTA ROSA,basica,Adecuado,23.0%,12.6%,25.0%,36.8%,23.0%,23.0%,0.0%,23.0%,5.1%,17.5%,24.1%,26.5%,38.2%,23.0%,26.3%,19.6%,23.0%,22.5%,33.9%,23.1%,24.0%,18.3%,23.1%,25.1%,4.9%
SANTA ROSA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LA QUEBRADA,basica,Insuficiente,32.0%,38.4%,36.6%,17.6%,32.0%,32.0%,0.0%,32.0%,66.7%,50.0%,41.9%,25.0%,17.7%,32.0%,28.0%,35.9%,32.1%,31.8%,43.1%,32.0%,31.5%,37.4%,32.0%,28.2%,75.6%
LA QUEBRADA,basica,Elemental,39.0%,38.3%,39.0%,39.7%,39.0%,39.0%,0.0%,39.0%,26.7%,34.6%,37.8%,42.5%,40.1%,39.0%,39.5%,38.5%,39.0%,39.0%,37.7%,39.0%,39.5%,33.9%,39.0%,40.6%,20.9%
LA QUEBRADA,basica,Adecuado,29.0%,23.3%,24.4%,42.7%,29.0%,29.0%,0.0%,29.0%,6.7%,15.4%,20.3%,32.6%,42.2%,29.0%,32.4%,25.6%,28.9%,29.2%,19.2%,29.0%,29.0%,28.7%,29.0%,31.2%,3.6%
LA QUEBRADA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MANQUEHUE,basica,Insuficiente,13.9%,24.5%,29.5%,8.4%,13.9%,13.9%,28.6%,13.9%,0.0%,47.2%,29.0%,25.4%,8.7%,13.9%,11.4%,16.5%,13.9%,13.8%,33.3%,13.9%,13.5%,21.0%,13.9%,12.6%,56.3%
MANQUEHUE,basica,Elemental,33.5%,35.7%,41.3%,31.3%,33.5%,33.5%,42.9%,33.5%,0.0%,32.0%,38.7%,38.3%,31.9%,33.5%,30.8%,36.1%,33.4%,33.4%,38.3%,33.5%,33.4%,35.0%,33.5%,33.4%,34.6%
MANQUEHUE,basica,Adecuado,52.6%,39.8%,29.2%,60.3%,52.6%,52.7%,28.6%,52.6%,0.0%,20.8%,32.3%,36.3%,59.4%,52.6%,57.8%,47.4%,52.7%,52.9%,28.3%,52.6%,53.1%,44.0%,52.6%,54.0%,9.1%
MANQUEHUE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
GABRIELA MISTRAL,basica,Insuficiente,38.5%,38.7%,41.0%,6.7%,38.5%,38.5%,0.0%,38.5%,30.4%,44.8%,40.3%,28.6%,6.7%,38.5%,33.2%,44.4%,38.4%,38.3%,40.8%,38.5%,38.5%,38.3%,38.5%,33.9%,74.5%
GABRIELA MISTRAL,basica,Elemental,39.0%,41.1%,38.4%,34.9%,39.0%,39.0%,0.0%,39.0%,43.5%,34.6%,41.2%,44.2%,34.9%,39.0%,40.1%,37.9%,39.1%,39.1%,38.4%,39.1%,39.4%,37.2%,39.1%,41.1%,22.7%
GABRIELA MISTRAL,basica,Adecuado,22.4%,20.3%,20.6%,58.4%,22.4%,22.4%,0.0%,22.4%,26.1%,20.5%,18.5%,27.2%,58.4%,22.4%,26.7%,17.7%,22.5%,22.6%,20.8%,22.5%,22.1%,24.5%,22.5%,25.0%,2.7%
GABRIELA MISTRAL,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MELIPILLA,basica,Insuficiente,41.6%,47.1%,40.5%,12.9%,41.6%,40.9%,43.2%,41.6%,47.6%,49.3%,42.4%,21.9%,12.7%,41.6%,36.7%,46.6%,41.6%,41.5%,46.4%,41.6%,41.1%,48.4%,41.6%,37.4%,81.1%
MELIPILLA,basica,Elemental,38.4%,36.8%,39.7%,39.8%,38.4%,37.8%,40.0%,38.4%,37.3%,36.9%,37.3%,47.7%,37.3%,38.4%,39.4%,37.4%,38.3%,38.4%,34.8%,38.4%,38.8%,33.3%,38.4%,41.0%,14.5%
MELIPILLA,basica,Adecuado,20.0%,16.1%,19.7%,47.4%,20.0%,21.3%,16.9%,20.0%,15.1%,13.8%,20.3%,30.5%,50.0%,20.0%,23.9%,16.1%,20.1%,20.1%,18.8%,20.0%,20.1%,18.3%,20.0%,21.7%,4.4%
MELIPILLA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
BARRANCAS,basica,Insuficiente,39.7%,44.6%,38.3%,16.7%,39.7%,39.6%,47.0%,39.7%,61.1%,41.3%,37.8%,32.6%,16.7%,39.7%,33.6%,46.1%,39.8%,39.0%,48.2%,39.8%,39.1%,45.4%,39.8%,36.5%,74.1%
BARRANCAS,basica,Elemental,39.7%,39.6%,39.8%,40.5%,39.7%,39.7%,42.2%,39.7%,30.5%,39.7%,41.4%,38.2%,40.5%,39.7%,41.2%,38.2%,39.8%,40.1%,35.8%,39.7%,39.7%,39.8%,39.7%,41.5%,21.2%
BARRANCAS,basica,Adecuado,20.5%,15.8%,22.0%,42.9%,20.5%,20.7%,10.8%,20.5%,8.4%,19.0%,20.7%,29.3%,42.9%,20.5%,25.2%,15.7%,20.5%,20.9%,16.0%,20.5%,21.1%,14.8%,20.5%,22.0%,4.7%
BARRANCAS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS VIÑEDOS,basica,Insuficiente,35.9%,48.8%,34.2%,18.0%,35.9%,35.6%,41.5%,35.9%,54.8%,46.3%,37.5%,24.1%,19.5%,35.9%,31.8%,39.9%,35.9%,35.5%,45.2%,35.9%,35.6%,42.8%,35.9%,32.1%,74.1%
LOS VIÑEDOS,basica,Elemental,39.0%,37.5%,39.0%,43.8%,39.0%,38.7%,43.9%,39.0%,32.7%,34.2%,42.0%,40.3%,44.2%,39.0%,40.0%,37.9%,39.0%,39.1%,36.5%,39.0%,39.1%,34.7%,39.0%,40.5%,23.3%
LOS VIÑEDOS,basica,Adecuado,25.2%,13.7%,26.8%,38.2%,25.2%,25.7%,14.6%,25.2%,12.5%,19.5%,20.5%,35.6%,36.3%,25.2%,28.2%,22.1%,25.1%,25.4%,18.3%,25.2%,25.3%,22.5%,25.2%,27.4%,2.6%
LOS VIÑEDOS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS PARQUES,basica,Insuficiente,40.1%,47.5%,36.5%,0.0%,40.1%,40.1%,0.0%,40.1%,56.3%,47.7%,37.9%,25.3%,0.0%,40.1%,35.5%,44.7%,40.1%,39.8%,43.9%,40.1%,39.1%,45.3%,40.1%,37.2%,74.0%
LOS PARQUES,basica,Elemental,37.4%,35.9%,38.1%,0.0%,37.4%,37.4%,0.0%,37.4%,35.6%,33.8%,39.2%,38.2%,0.0%,37.4%,38.8%,35.9%,37.3%,37.1%,40.7%,37.3%,37.1%,38.3%,37.3%,38.6%,22.0%
LOS PARQUES,basica,Adecuado,22.5%,16.5%,25.4%,0.0%,22.5%,22.5%,0.0%,22.5%,8.1%,18.5%,22.8%,36.5%,0.0%,22.5%,25.7%,19.4%,22.6%,23.1%,15.3%,22.6%,23.8%,16.4%,22.6%,24.2%,4.1%
LOS PARQUES,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALAGANTE,basica,Insuficiente,39.3%,46.7%,39.7%,15.2%,39.3%,39.0%,46.8%,39.3%,60.0%,51.8%,40.9%,28.1%,15.2%,39.3%,34.7%,43.9%,39.3%,39.3%,38.8%,39.3%,39.2%,42.0%,39.3%,35.8%,79.9%
TALAGANTE,basica,Elemental,38.8%,34.5%,40.4%,41.6%,38.8%,38.8%,39.6%,38.8%,32.3%,35.6%,37.5%,46.1%,41.6%,38.8%,39.2%,38.3%,38.8%,38.7%,40.3%,38.8%,38.9%,37.3%,38.8%,40.8%,16.0%
TALAGANTE,basica,Adecuado,21.9%,18.8%,19.9%,43.1%,21.9%,22.2%,13.6%,21.9%,7.7%,12.6%,21.7%,25.8%,43.1%,21.9%,26.0%,17.8%,21.9%,21.9%,20.9%,21.9%,21.9%,20.7%,21.9%,23.4%,4.1%
TALAGANTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA COLCHAGUA,basica,Insuficiente,33.0%,41.7%,23.0%,12.5%,33.0%,33.0%,33.0%,33.0%,35.9%,40.2%,25.0%,35.6%,12.5%,33.0%,25.8%,39.6%,33.0%,33.1%,28.6%,33.0%,32.9%,35.6%,33.0%,27.4%,62.9%
COSTA COLCHAGUA,basica,Elemental,33.9%,36.7%,32.5%,14.6%,33.9%,32.2%,39.1%,33.9%,46.2%,36.1%,32.5%,33.3%,14.6%,33.9%,33.9%,33.9%,33.8%,33.6%,57.1%,33.8%,33.0%,48.9%,33.8%,34.8%,28.6%
COSTA COLCHAGUA,basica,Adecuado,33.1%,21.6%,44.5%,72.9%,33.1%,34.8%,27.9%,33.1%,17.9%,23.7%,42.5%,31.1%,72.9%,33.1%,40.3%,26.5%,33.1%,33.3%,14.3%,33.1%,34.1%,15.6%,33.1%,37.8%,8.6%
COSTA COLCHAGUA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE CACHAPOAL,basica,Insuficiente,40.2%,44.3%,32.6%,0.0%,40.2%,39.4%,42.1%,40.2%,51.2%,42.6%,32.6%,34.9%,0.0%,40.2%,34.9%,45.4%,40.2%,40.2%,42.5%,40.2%,39.5%,58.5%,40.2%,34.6%,72.3%
VALLE CACHAPOAL,basica,Elemental,38.1%,36.2%,41.8%,0.0%,38.1%,39.4%,35.5%,38.1%,30.8%,37.8%,41.4%,41.8%,0.0%,38.1%,39.6%,36.8%,38.1%,38.1%,40.0%,38.1%,38.7%,24.6%,38.1%,40.7%,23.4%
VALLE CACHAPOAL,basica,Adecuado,21.6%,19.5%,25.6%,0.0%,21.6%,21.2%,22.5%,21.6%,18.0%,19.6%,26.0%,23.3%,0.0%,21.6%,25.6%,17.8%,21.6%,21.7%,17.5%,21.6%,21.8%,16.9%,21.6%,24.7%,4.3%
VALLE CACHAPOAL,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CACHAPOAL COSTA,basica,Insuficiente,41.9%,50.6%,31.8%,0.0%,41.9%,39.7%,45.9%,41.9%,54.3%,47.6%,37.4%,28.0%,0.0%,41.9%,35.6%,48.4%,41.9%,42.1%,30.0%,41.9%,41.5%,53.3%,41.9%,35.4%,77.1%
CACHAPOAL COSTA,basica,Elemental,38.5%,35.3%,42.3%,0.0%,38.5%,39.5%,36.9%,38.5%,37.0%,36.9%,37.8%,43.7%,0.0%,38.5%,41.7%,35.3%,38.5%,38.4%,45.0%,38.5%,38.3%,44.4%,38.5%,42.1%,19.1%
CACHAPOAL COSTA,basica,Adecuado,19.5%,14.0%,25.9%,0.0%,19.5%,20.8%,17.3%,19.5%,8.7%,15.5%,24.8%,28.3%,0.0%,19.5%,22.7%,16.3%,19.5%,19.4%,25.0%,19.5%,20.2%,2.2%,19.5%,22.4%,3.7%
CACHAPOAL COSTA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CARDENAL CARO,basica,Insuficiente,49.6%,51.6%,40.5%,0.0%,49.6%,45.7%,54.3%,49.6%,58.8%,47.7%,52.8%,36.0%,0.0%,49.6%,41.7%,57.6%,49.8%,49.6%,58.3%,49.6%,48.7%,70.0%,49.6%,41.2%,84.4%
CARDENAL CARO,basica,Elemental,35.6%,33.0%,47.6%,0.0%,35.6%,39.1%,31.4%,35.6%,23.5%,32.9%,37.6%,38.0%,0.0%,35.6%,41.3%,29.9%,35.2%,35.3%,33.3%,35.6%,36.1%,25.0%,35.6%,41.2%,12.2%
CARDENAL CARO,basica,Adecuado,14.8%,15.4%,11.9%,0.0%,14.8%,15.2%,14.3%,14.8%,17.6%,19.5%,9.6%,26.0%,0.0%,14.8%,17.0%,12.6%,15.0%,15.2%,8.3%,14.8%,15.2%,5.0%,14.8%,17.6%,3.3%
CARDENAL CARO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CACHAPOAL NORTE,basica,Insuficiente,37.4%,46.6%,39.7%,8.4%,37.4%,36.4%,48.3%,37.4%,58.6%,49.2%,39.6%,35.7%,8.4%,37.4%,31.9%,43.2%,37.5%,37.2%,50.5%,37.5%,37.7%,34.3%,37.5%,33.4%,76.7%
CACHAPOAL NORTE,basica,Elemental,37.6%,34.9%,41.4%,29.7%,37.6%,37.6%,37.4%,37.6%,28.2%,36.6%,38.9%,44.4%,29.7%,37.6%,38.5%,36.7%,37.6%,37.6%,36.6%,37.6%,37.3%,41.6%,37.6%,39.4%,20.4%
CACHAPOAL NORTE,basica,Adecuado,25.0%,18.5%,18.8%,62.0%,25.0%,25.9%,14.3%,25.0%,13.2%,14.2%,21.5%,19.9%,62.0%,25.0%,29.6%,20.1%,24.9%,25.2%,12.9%,24.9%,25.0%,24.2%,24.9%,27.2%,2.9%
CACHAPOAL NORTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COLCHAGUA,basica,Insuficiente,39.0%,45.4%,38.5%,6.4%,39.0%,38.7%,40.1%,39.0%,60.1%,41.0%,37.5%,30.3%,6.4%,39.0%,35.0%,42.8%,39.0%,39.1%,35.3%,39.0%,38.5%,51.4%,39.0%,33.9%,67.5%
COLCHAGUA,basica,Elemental,38.5%,36.7%,40.0%,35.8%,38.5%,38.5%,38.6%,38.5%,27.9%,40.2%,38.1%,48.5%,35.8%,38.5%,39.2%,37.8%,38.4%,38.5%,35.3%,38.5%,38.6%,35.1%,38.5%,40.8%,25.5%
COLCHAGUA,basica,Adecuado,22.5%,17.9%,21.5%,57.8%,22.5%,22.9%,21.3%,22.5%,12.0%,18.8%,24.4%,21.2%,57.8%,22.5%,25.9%,19.3%,22.5%,22.4%,29.4%,22.5%,22.9%,13.5%,22.5%,25.3%,7.1%
COLCHAGUA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULE COSTA,basica,Insuficiente,32.6%,39.3%,23.7%,0.0%,32.6%,32.1%,34.6%,32.6%,47.8%,31.7%,30.1%,24.1%,0.0%,32.6%,28.2%,36.8%,32.6%,32.7%,27.6%,32.6%,32.6%,27.8%,32.6%,26.6%,65.6%
MAULE COSTA,basica,Elemental,38.6%,37.6%,41.0%,25.0%,38.6%,40.7%,30.1%,38.6%,30.4%,38.1%,44.0%,44.0%,25.0%,38.6%,38.1%,39.2%,38.6%,38.5%,44.8%,38.6%,38.7%,33.3%,38.6%,40.9%,26.2%
MAULE COSTA,basica,Adecuado,28.8%,23.0%,35.3%,75.0%,28.8%,27.2%,35.4%,28.8%,21.9%,30.2%,25.9%,31.9%,75.0%,28.8%,33.7%,24.0%,28.8%,28.8%,27.6%,28.8%,28.7%,38.9%,28.8%,32.5%,8.2%
MAULE COSTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS CEREZOS,basica,Insuficiente,35.3%,43.3%,28.6%,10.1%,35.3%,32.6%,42.0%,35.3%,52.3%,40.0%,32.1%,21.5%,10.1%,35.3%,29.5%,40.8%,35.3%,35.0%,52.4%,35.3%,34.5%,52.3%,35.3%,29.0%,70.4%
LOS CEREZOS,basica,Elemental,40.1%,38.2%,41.1%,50.8%,40.1%,40.9%,38.0%,40.1%,35.3%,40.3%,40.8%,38.3%,50.8%,40.1%,40.3%,39.8%,40.1%,40.3%,27.0%,40.1%,40.3%,34.9%,40.1%,42.7%,25.3%
LOS CEREZOS,basica,Adecuado,24.7%,18.6%,30.4%,39.1%,24.7%,26.5%,20.0%,24.7%,12.4%,19.7%,27.2%,40.2%,39.1%,24.7%,30.2%,19.4%,24.7%,24.7%,20.6%,24.7%,25.2%,12.8%,24.7%,28.3%,4.3%
LOS CEREZOS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ÁLAMOS,basica,Insuficiente,37.8%,45.2%,31.0%,3.6%,37.8%,35.4%,43.2%,37.8%,51.2%,42.3%,30.5%,20.1%,3.6%,37.8%,31.6%,44.3%,37.8%,37.7%,42.5%,37.8%,37.7%,43.9%,37.8%,31.1%,74.7%
LOS ÁLAMOS,basica,Elemental,40.3%,38.2%,43.0%,30.4%,40.3%,40.4%,40.0%,40.3%,35.6%,41.8%,39.9%,45.9%,30.4%,40.3%,43.6%,36.8%,40.3%,40.2%,45.0%,40.3%,40.2%,41.5%,40.3%,43.6%,21.8%
LOS ÁLAMOS,basica,Adecuado,21.9%,16.6%,26.1%,66.1%,21.9%,24.3%,16.8%,21.9%,13.3%,16.0%,29.7%,34.0%,66.1%,21.9%,24.8%,18.9%,21.9%,22.0%,12.5%,21.9%,22.0%,14.6%,21.9%,25.3%,3.5%
LOS ÁLAMOS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULE VALLE,basica,Insuficiente,37.3%,45.7%,35.5%,10.2%,37.3%,36.3%,43.6%,37.3%,55.7%,45.7%,36.7%,24.0%,10.2%,37.3%,30.9%,43.8%,37.3%,37.1%,52.9%,37.3%,37.0%,41.0%,37.3%,31.8%,76.6%
MAULE VALLE,basica,Elemental,36.9%,36.0%,38.4%,33.0%,36.9%,36.7%,38.5%,36.9%,33.3%,35.8%,38.7%,40.1%,33.0%,36.9%,38.2%,35.7%,36.9%,36.9%,35.3%,36.9%,36.9%,37.2%,36.9%,39.4%,19.3%
MAULE VALLE,basica,Adecuado,25.8%,18.3%,26.1%,56.8%,25.8%,27.0%,17.8%,25.8%,11.0%,18.6%,24.6%,35.8%,56.8%,25.8%,30.9%,20.5%,25.8%,25.9%,11.8%,25.8%,26.0%,21.7%,25.8%,28.8%,4.1%
MAULE VALLE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE DIGUILLÍN,basica,Insuficiente,37.6%,49.7%,33.4%,13.3%,37.6%,36.2%,49.8%,37.6%,60.6%,47.1%,33.2%,32.4%,14.2%,37.6%,34.2%,41.1%,37.6%,37.6%,37.5%,37.6%,37.5%,41.6%,37.6%,31.2%,72.0%
VALLE DIGUILLÍN,basica,Elemental,38.7%,35.4%,39.5%,52.0%,38.7%,39.3%,33.2%,38.7%,27.1%,37.0%,41.2%,39.7%,43.0%,38.7%,39.0%,38.4%,38.7%,38.5%,50.0%,38.7%,38.7%,39.6%,38.7%,41.6%,23.0%
VALLE DIGUILLÍN,basica,Adecuado,23.7%,14.8%,27.1%,34.7%,23.7%,24.5%,16.9%,23.7%,12.3%,15.8%,25.6%,28.0%,42.7%,23.7%,26.8%,20.5%,23.7%,23.9%,12.5%,23.7%,23.9%,18.8%,23.7%,27.2%,4.9%
VALLE DIGUILLÍN,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUNILLA CORDILLERA,basica,Insuficiente,35.1%,38.0%,31.9%,0.0%,35.1%,31.2%,43.8%,35.1%,40.9%,34.0%,36.2%,26.4%,0.0%,35.1%,29.4%,41.5%,35.2%,35.4%,18.8%,35.1%,35.3%,25.0%,35.1%,27.4%,67.9%
PUNILLA CORDILLERA,basica,Elemental,41.2%,41.8%,40.5%,0.0%,41.2%,42.4%,38.5%,41.2%,36.8%,45.0%,37.7%,44.6%,0.0%,41.2%,44.7%,37.2%,41.2%,41.0%,56.3%,41.2%,41.0%,50.0%,41.2%,44.4%,27.6%
